Unnamed: 0,replicate,sample_size,Ne,length,recombination_rate,mutation_rate,error_param,edges,n_trees,n_sites,seed,ARGweaver_completed,RentPlus_completed,tsinfer_completed,fastARG_completed,RentPlus_0_RFrooted,RentPlus_0_RFunrooted,RentPlus_memory,RentPlus_0_pathunrooted,RentPlus_0_wRFrooted,RentPlus_0_SPRunrooted,RentPlus_0_KCrooted,RentPlus_0_wRFunrooted,RentPlus_cputime,fastARG_0_wRFunrooted,fastARG_0_RFrooted,fastARG_0_wRFrooted,fastARG_0_RFunrooted,fastARG_memory,fastARG_0_pathunrooted,fastARG_0_SPRunrooted,fastARG_edges,fastARG_0_KCrooted,fastARG_cputime,fastARG_ts_filesize,tsinfer_memory,tsinfer_max_polytomy,tsinfer_2_wRFrooted,tsinfer_0_RFunrooted,tsinfer_2_SPRunrooted,tsinfer_2_RFrooted,tsinfer_0_wRFunrooted,tsinfer_mean_polytomy,tsinfer_2_KCrooted,tsinfer_0_SPRunrooted,tsinfer_0_KCrooted,tsinfer_2_wRFunrooted,tsinfer_0_RFrooted,tsinfer_cputime,tsinfer_var_polytomy,tsinfer_0_pathunrooted,tsinfer_edges,tsinfer_2_RFunrooted,tsinfer_0_wRFrooted,tsinfer_2_pathunrooted,tsinfer_ts_filesize,ARGweaver_0_SPRunrooted,ARGweaver_0_RFunrooted,ARGweaver_edges,ARGweaver_0_wRFrooted,ARGweaver_memory,ARGweaver_0_wRFunrooted,ARGweaver_iterations,ARGweaver_0_pathunrooted,ARGweaver_ts_filesize,ARGweaver_cputime,ARGweaver_0_KCrooted,ARGweaver_0_RFrooted
28,3,10,5000,200000,1e-08,1e-08,0,382,127,166,358116354,True,True,True,True,4.09089,3.19479,90763264.0,5.1115818241685815,,1.023965,5.111545490521128,,1.46,83840.65033811063,5.352531948031832,83844.1612685896,3.3126848831252818,2052096.0,4.930333402226221,0.9678387932407536,117.0,7.1284502004867605,0.0,16012.0,58998784.0,21.0,84129.29268943728,2.7059533718924755,0.9923495360924232,3.4218884783224794,84128.46480494122,3.8809523809523814,3.944659301358988,0.7453934810819947,3.7235236604671353,84128.46480494122,3.1738624126809754,0.92,13.390589569160998,5.059400071644955,163.0,2.930118468771235,84129.29268943728,4.778237387911683,19428.0,1.2528715,4.0118670000000005,445.3,70582.2037784749,212135936.0,69254.28701903389,"0,20,40,60,80,100,120,140,160,180",6.089507766857837,22615.2,5255.24,5.11867482456029,4.8994800000000005
29,3,20,5000,200000,1e-08,1e-08,0,387,106,138,1974001566,True,True,True,True,17.41798,16.21618,153366528.0,23.682926261458082,,4.43753,15.874609485700457,,2.91,67623.52482445216,21.97237127779056,67636.50488341233,19.583046965023602,2097152.0,28.64271143753452,4.930534590920415,197.0,22.730032785877814,0.0,18348.0,59265024.0,22.0,68486.60796962962,13.126252951810244,4.268863232117134,16.792734327526848,68483.46543834057,3.8,17.901949403501572,,16.797285488295206,68483.46543834057,14.30808628309492,1.44,10.48,28.81520307642045,190.0,15.51702293734058,68486.60796962964,24.552458610954034,19748.0,4.580475,17.304510999999998,496.4,73064.21985096922,371204096.0,72576.21051182371,"0,20,40,60,80,100,120,140,160,180",26.442461011064,24727.2,7136.480000000001,17.73508436352429,18.501163000000002
30,3,40,5000,200000,1e-08,1e-08,0,682,181,181,1553621901,True,True,True,True,34.57081,33.11572,283803648.0,63.55023534717569,,9.640655,44.32657971349869,,4.86,88745.78302420683,41.25246936979156,88752.86891563256,39.04467897693112,2121728.0,72.40742341550428,10.362128631398672,414.0,48.25485800624774,0.0,29108.0,59363328.0,20.0,91442.4466672814,27.672268322172364,9.346668750689156,35.89397234664635,91440.21286029232,3.773809523809524,53.27646589100768,,35.79423231352529,91440.21286029232,28.717249241036054,1.2,8.627409297052154,70.19733114115617,317.0,34.66196497878241,91442.4466672814,69.98218880703361,27156.0,10.179949,38.750426000000004,669.8888888888888,100367.27268703944,505208832.0,99871.59389838364,"0,20,40,60,80,100,120,140,160,180",68.44657210240715,32084.0,8156.82,45.44792615325268,40.224173
31,3,64,5000,200000,1e-08,1e-08,0,523,112,132,667719760,True,True,True,True,70.5597,68.78112,417062912.0,146.12699638185958,,17.423155,74.1016924741387,,7.15,61096.528359754775,71.63225305659374,61103.88992748503,69.29589195317389,2191360.0,171.26495525633572,17.853198138433882,349.0,80.9068929336679,0.0,25508.0,58773504.0,26.0,64770.36631404456,49.843479782543355,17.603701469396274,74.29645600131775,64769.23772108276,3.9705882352941178,80.91073992629853,,65.5623241355746,64769.237721082776,51.25266264926459,1.17,12.499134948096886,184.87490633622932,270.0,72.54631615139681,64770.36631404455,147.9510710110116,24252.0,17.114276500000003,68.245676,552.7,78623.92597306153,762834944.0,78141.01655264481,"0,20,40,60,80,100,120,140,160,180",131.19185211623721,28117.6,16032.49,68.8192067069706,69.95702800000001
32,3,100,5000,200000,1e-08,1e-08,0,891,206,244,667699277,True,True,True,True,109.83354,108.33302,713125888.0,211.20595096225102,,26.66457,106.21851967405394,,15.08,107373.94791835864,117.88570701257777,107380.52361278566,115.82930485108709,2297856.0,234.98159657963458,26.78037173900667,664.0,122.8501722316832,0.02,43364.0,59416576.0,31.0,112055.11293148276,86.06320824176191,29.1122808246374,123.94684416259466,112052.500238275,4.201834862385321,111.76926962283486,,105.35696382486559,112052.500238275,86.90367892546631,1.23,15.97761131217911,367.2623662655072,458.0,122.93520646827784,112055.11293148277,234.22924655618846,37180.0,28.871552,120.703024,941.9,119000.00440800506,970125312.0,118767.72700606714,"0,20,40,60,80,100,120,140,160,180",227.24864033159923,44629.6,11894.54,106.63533540405732,121.84926899999999
33,3,10,5000,293333,1e-08,1e-08,0,321,104,118,134906351,True,True,True,True,4.248325282187821,3.024078436452769,75530240.0,4.7131129543334485,,1.0527693781470207,4.674529465593357,,1.54,45406.50938115818,6.987384532837037,45414.3017405845,4.025391249628476,1970176.0,6.292410765767285,1.3941197997841859,65.0,9.093959617126886,0.0,11996.0,59219968.0,13.0,45625.03790922329,2.0324575861323355,0.8088656734082378,3.2335775581003574,45623.00551730501,3.294117647058824,4.185290965358236,0.8063875803651831,4.142857849837679,45623.005517305,3.201099102186143,1.12,5.3252595155709335,3.6958889126492416,112.0,2.0649360420465497,45625.03790922329,3.5268148627539158,15668.0,1.2828004350004945,3.826226166166098,378.6,40275.374441235756,324268032.0,39883.73544659197,"0,20,40,60,80,100,120,140,160,180",5.9958541315347365,20103.2,7475.39,5.448324393929463,4.976537927884007
34,3,10,5000,546666,1e-08,1e-08,0,764,236,283,1294647786,True,True,True,True,6.056348849205913,4.860686415471238,144916480.0,6.748116146695551,,1.5352207746594813,6.10127535864598,,2.91,54982.419639448795,8.296688369888173,54994.41907936387,6.097733846231973,2138112.0,7.913423120523988,1.8458160227637168,243.0,8.794449574434214,0.0,25436.0,58818560.0,44.0,55720.95871625377,4.34019014159467,1.4264208456487668,6.42353448507073,55718.834504440725,4.402985074626866,7.0374418540823305,0.9906807731460998,6.318822690651537,55718.834504440725,5.769653958190597,1.25,30.359991089329466,6.978624654152813,295.0,4.8479312259834,55720.95871625376,6.628652587699902,28940.0,1.6357757753363114,5.40839561999466,784.1111111111112,50490.15469550746,488509440.0,49880.71198736937,"0,20,40,60,80,100,120,140,160,180",7.429085288219827,36284.88888888888,16657.72,6.455043658787633,6.606705739885047
35,3,10,5000,800000,1e-08,1e-08,0,1155,375,444,906262299,True,True,True,True,4.8254125,3.6818575,217427968.0,5.5570129639516965,,1.34142625,5.273989828881784,,4.0200000000000005,51954.93863136307,7.555352100746398,51970.282975074864,4.937307336979843,2138112.0,7.162880538821863,1.7010240881151415,255.0,8.787922346642656,0.0,32532.0,59138048.0,66.0,52649.840562713034,4.300322366535017,1.645775319398759,5.707435929608108,52647.27688990492,4.41237113402062,5.752037654062454,1.5363745386526753,5.488741314123364,52647.27688990491,5.4347140388353035,1.24,48.88149643957913,6.718613558883558,428.0,4.535805895837513,52649.840562713034,6.508320471306236,40340.0,1.41110775,4.071767,1210.4444444444443,45951.87885810139,656732160.0,45353.50119236438,"0,20,40,60,80,100,120,140,160,180",6.196417539866738,53484.88888888888,24088.74,5.675622851741305,5.17495975
36,4,10,5000,40000,1e-08,1e-08,0,80,19,21,960426798,True,True,True,True,5.48125,3.65465,49725440.0,6.501480488938206,,1.131575,6.156574149503482,,0.48,52900.793473003825,7.909429341059598,52901.815387674345,5.894464670529798,2072576.0,8.04555477040916,1.85965,22.0,8.180275982322335,0.0,6436.0,58605568.0,5.0,52998.668778455714,5.39714272969719,1.940434879156642,6.996627720316407,52997.645526058426,2.6,7.100392856265034,,6.1400053574920825,52997.645526058426,5.9074339346468845,0.97,1.0399999999999998,8.191785096009419,26.0,6.486336515366709,52998.66877845572,8.328999668881456,8460.0,2.149325,6.714920000000001,75.1,53502.018643633346,94212096.0,52435.17944804319,"0,20,40,60,80,100,120,140,160,180",8.074728143037357,7752.8,870.6899999999998,7.05026830441157,8.173355
37,4,10,5000,200000,1e-08,1e-08,0,276,85,102,1489521078,True,True,True,True,5.41008,3.90389,71520256.0,6.31240780868092,,1.511255,6.663085089673085,,1.06,57759.31609601053,8.265614788917931,57765.396678258025,5.651432407945928,2015232.0,7.711268340176185,1.832176480581844,73.0,10.070097369028874,0.0,11708.0,58867712.0,17.0,57981.911179334376,3.8739888381018233,1.6205747518897209,5.7067007721354654,57979.70580867856,3.7586206896551726,6.501801607729808,1.3668605570466896,5.883754603890755,57979.70580867858,4.995116174075031,1.2,8.803804994054698,8.016490056503402,109.0,4.530545614366484,57981.91117933436,6.676111090928974,14836.0,1.598406,5.548457,316.0,50472.57917417367,232488960.0,49878.63853075415,"0,20,40,60,80,100,120,140,160,180",7.946975197397376,17461.6,5316.869999999999,7.058147156786935,6.730569
38,4,20,5000,200000,1e-08,1e-08,0,475,135,144,1573457715,True,True,True,True,18.7771,17.29605,165715968.0,27.04273026857874,,4.86477,18.716668252838907,,3.0900000000000003,80676.80007395483,22.25382101857905,80684.30425590272,19.930230589781637,2101248.0,28.304691789458214,5.047962542488005,187.0,21.97522656418981,0.0,18180.0,59047936.0,20.0,81545.11584842695,15.698312267000539,5.097527985622227,20.270302991513997,81541.83056912027,4.0,18.535569599775233,,18.35309655294697,81541.83056912025,17.092302816270188,1.21,9.407407407407408,32.41512223766371,216.0,18.79880255959664,81545.11584842697,27.96852018517405,20900.0,5.1057765,18.051702,444.1,76236.03227195647,346202112.0,75120.12896294192,"0,20,40,60,80,100,120,140,160,180",27.079912843360944,22728.8,6278.030000000002,18.29116060879397,19.285165
39,4,40,5000,200000,1e-08,1e-08,0,583,153,170,745819123,True,True,True,True,31.02755,29.72089,297689088.0,61.70349763870422,,8.280315,37.12306533894815,,5.63,84017.97360170151,34.001158995025,84022.57112794011,32.28432995358676,2203648.0,60.97325783357164,8.041165794212839,284.0,41.26389289348857,0.0,23708.0,58769408.0,17.0,85508.16482111883,25.664948651541103,8.969041317835437,36.274835143832725,85503.13148265624,3.753846153846154,46.81504759862655,,35.791629544000884,85503.13148265624,26.94324357394143,1.45,8.49325443786982,85.31761639769842,244.0,34.97643912740374,85508.16482111884,70.7353515485233,23924.0,8.492849,33.064492,556.1,84349.491337248,532320256.0,83701.32164514407,"0,20,40,60,80,100,120,140,160,180",62.72219757705865,27756.0,8650.64,37.183043139229326,34.268428
40,4,64,5000,200000,1e-08,1e-08,0,693,167,198,621137568,True,True,True,True,63.30767,61.93494,588300288.0,144.75421453550675,,15.684705,79.12197243207505,,9.13,96198.51233812957,69.96002700877608,96205.63000162534,67.78727833929324,2240512.0,140.36959957346946,16.3538904179662,419.0,79.35478571172123,0.0,30844.0,59318272.0,30.0,100293.8310081902,53.15299988765007,17.816632777341987,74.2862213899599,100289.73867044324,4.0,77.09179927438684,,69.48278280251863,100289.7386704432,54.50180429273848,1.28,13.033707865168537,205.24836468549637,356.0,72.85571237372633,100293.83100819023,150.04525506046042,30156.0,17.413652,72.982576,789.25,115112.44639052216,771506176.0,114454.50283957276,"0,20,40,60,80,100,120,140,160,180",155.13314101301546,37440.0,11185.74,79.43347614739001,74.302083
41,4,100,5000,200000,1e-08,1e-08,0,877,186,218,1917583319,True,True,True,True,98.49328,96.61711,749178880.0,212.8393424292182,,24.93766,130.28352202965493,,17.8,95387.26982383484,109.95935202944789,95388.74717769894,107.88028698751604,2273280.0,238.61949650583827,26.594935083873164,775.0,132.6852260430354,0.02,46780.0,59170816.0,41.0,99185.88257259507,79.98938959608145,26.41314685890451,112.10000124610822,99183.61752085939,4.355371900826446,129.03304845260465,,107.28022701830406,99183.61752085944,81.12262387775922,1.2,17.237347175739362,338.8953540338755,527.0,110.63038555873516,99185.88257259507,225.57106537678817,38660.0,25.9945375,103.575911,978.9,109045.45564695512,989540352.0,108688.80556275416,"0,20,40,60,80,100,120,140,160,180",206.74951125595717,45821.6,16481.14,118.67417487151279,104.953781
42,4,10,5000,293333,1e-08,1e-08,0,303,99,163,171685554,True,True,True,True,4.739494022152298,3.6661950752216765,104026112.0,5.89517017645792,,1.3365185642256412,5.643974708129944,,1.8099999999999998,52258.60974123923,5.565298593472557,52261.72140149354,4.005049053044888,2080768.0,6.347985074111231,1.3121535010921541,88.0,6.93261702597219,0.0,14652.0,58986496.0,14.0,52520.197345528584,3.902735171954705,1.3803336693778074,5.479208481748566,52518.08390499317,3.794117647058824,6.119227268219503,1.5068031841465102,6.181330894259952,52518.08390499315,4.990728058126526,1.15,7.516435986159171,7.497533441652548,129.0,4.294324861516016,52520.197345528584,6.7699452098646535,18028.0,1.528386168620646,4.710084443277776,407.4444444444445,40179.00045337592,276549632.0,39928.10200900417,"0,20,40,60,80,100,120,140,160,180",7.1393367843079565,21381.777777777777,7363.37,5.9685131007315535,5.5875683949640855
43,4,10,5000,546666,1e-08,1e-08,0,833,263,272,1809123449,True,True,True,True,7.589969012157332,5.877343752858235,123265024.0,8.191358208401024,,1.777760094829384,8.011324126575046,,2.47,53841.72197360005,9.104432207554074,53847.875007623436,6.942086499784285,2072576.0,9.074261414916377,1.9386784120623697,208.0,9.364388549421426,0.0,23764.0,59301888.0,39.0,54392.10812757011,4.951910654782263,1.6152935977915106,6.358369653583991,54390.13754643402,4.038961038961038,6.395125267984393,1.5196899103593249,5.879730609036143,54390.13754643402,5.96183465376221,1.07,23.12835216731321,7.81324743355362,311.0,5.30589989447851,54392.1081275701,7.4576192732037025,29244.0,1.9047200667317887,6.785152177014849,877.9,52127.83840793154,476377088.0,51308.8883822958,"0,20,40,60,80,100,120,140,160,180",8.901778933971993,39893.6,16426.64,7.787358867102277,8.2387249252743
44,4,10,5000,800000,1e-08,1e-08,0,898,287,421,1429992420,True,True,True,True,4.5419425,3.4160825,201887744.0,5.3729284780854805,,1.02179875,5.81077326665579,,4.1,49771.658424211855,6.5072957736644055,49779.885462338476,4.2944748667284705,2101248.0,6.492119750107187,1.286559459114189,230.0,8.125605828381437,0.0,30660.0,58761216.0,47.0,50345.77992670786,4.015586891159597,1.322935745117417,5.423775507536911,50343.99956748983,4.341772151898734,6.1858395688184915,1.2261315717022736,6.001940471104875,50343.99956748983,5.02360726773278,1.29,32.14901458099663,7.0161213821267205,343.0,4.35288673424391,50345.77992670786,6.651603278203285,36284.0,1.268303,4.31408375,1124.4444444444443,45027.94128473506,686788608.0,44547.92430308253,"0,20,40,60,80,100,120,140,160,180",6.557248187455281,50084.0,24456.28,6.334193718168667,5.4378845
45,5,10,5000,40000,1e-08,1e-08,0,89,21,18,1313836049,True,True,True,True,8.5012,7.25105,48635904.0,9.420994127188976,,2.39385,9.649415181170346,,0.5,50871.34820372008,10.604833499176678,50872.43557238835,8.604833499176678,2064384.0,10.98462266573797,2.0650620190160147,36.0,10.068481003381569,0.0,6860.0,58040320.0,6.0,50982.471971803636,7.305978678514459,2.5066700118233185,11.208701479176435,50981.04499744307,4.0,8.905087099795368,,8.093792528858582,50981.044997443074,8.821277321605075,0.92,2.0,14.117877384385693,28.0,9.64040826658172,50982.47197180365,11.440050437500384,8348.0,1.96803,8.019155000000001,86.1,54443.010755887626,95080448.0,54263.80864554901,"0,20,40,60,80,100,120,140,160,180",10.574897553448382,8144.8,1116.66,7.8992099390767825,9.131765
46,5,10,5000,200000,1e-08,1e-08,0,365,117,136,1698419317,True,True,True,True,7.17657,5.59168,77115392.0,8.037537393124008,,1.612495,7.56625235995015,,1.4,68283.60765753918,8.844102782629948,68294.52092481643,6.665068748946212,2080768.0,9.218461861341758,1.955788378454838,137.0,9.546725821042717,0.0,15588.0,59064320.0,22.0,68609.2291838053,5.6716766003733,1.70174809949664,7.292230217112772,68607.80473004964,3.8372093023255816,7.762225631920806,1.6457335199886067,7.268272427034501,68607.80473004965,6.780915729737619,1.3,14.322336398053,8.803324361999092,165.0,6.084389017779863,68609.2291838053,8.510758349261161,18316.0,1.86178,6.387222,426.22222222222223,68534.982713695,198111232.0,67998.82090704197,"0,20,40,60,80,100,120,140,160,180",8.412725949515421,21721.33333333333,5514.440000000001,6.728826114824668,7.564681
47,5,20,5000,200000,1e-08,1e-08,0,510,146,144,745911278,True,True,True,True,13.27032,11.73469,172421120.0,20.285468064968267,,3.47475,15.830388323973569,,3.3200000000000003,70770.15090597574,15.98075153636063,70777.57986144075,13.8820521916381,1986560.0,23.04966251059432,3.893042204494813,229.0,19.054458727603237,0.0,19812.0,58986496.0,29.0,71634.97380572872,12.089331260871143,3.654393522746262,14.936326999328694,71630.22896803515,3.8873239436619715,17.622895209584943,3.285078571548712,16.263846202905714,71630.22896803518,13.614629217938758,1.13,13.283078754215431,22.528238706766363,276.0,13.219152770328753,71634.97380572875,21.35529440768752,23236.0,3.6320155,12.515028,505.88888888888886,74872.14252702077,331911168.0,74395.9487947817,"0,20,40,60,80,100,120,140,160,180",20.837633238519302,24960.44444444444,6656.63,15.394765243917465,14.032671
48,5,40,5000,200000,1e-08,1e-08,0,499,122,143,669270988,True,True,True,True,35.15177,33.3113,278138880.0,69.07609692358751,,8.181665,45.27499094477249,,5.19,64840.021939307786,42.08892176151606,64847.99328599624,39.60716755187549,2113536.0,71.98021678836777,9.667906409535188,299.0,52.59454248473813,0.0,23116.0,58560512.0,29.0,67004.14693245583,31.620888975504474,10.177050706675148,43.212901004867945,67002.23828258997,3.7096774193548394,54.766322730333,,43.12872402197275,67002.23828258997,32.99221186896277,1.03,13.496357960457857,90.20934328236035,230.0,41.42841610087984,67004.14693245583,74.66232807885953,22300.0,10.461908,43.113158,538.0,74490.15109277963,641626112.0,73941.55621287323,"0,20,40,60,80,100,120,140,160,180",76.17923978585641,26818.4,10974.25,52.17844459266557,44.869993
49,5,64,5000,200000,1e-08,1e-08,0,730,177,197,1782501257,True,True,True,True,66.26501,64.42991,646950912.0,121.57849015404692,,15.75058,78.53317506635048,,7.9,98109.26553422901,68.13333119436678,98113.73773294721,65.84595364577932,2265088.0,130.0589369766405,16.610933808306466,417.0,83.9984885688253,0.0,30868.0,59346944.0,32.0,101988.73681889998,50.38056702932308,17.614125886838853,70.87158635225364,101985.08965520708,4.045454545454546,82.42210321553877,,71.46649400446928,101985.08965520703,51.72314697127514,1.36,13.611570247933884,160.5122820304891,356.0,69.43025593988064,101988.73681889998,128.73249337309542,30084.0,16.86469,65.43165,790.6,107147.37521041649,724238336.0,106092.90002407467,"0,20,40,60,80,100,120,140,160,180",123.31349780924977,37564.0,11189.81,66.81181640216171,66.911866
50,5,100,5000,200000,1e-08,1e-08,0,834,177,206,1554950652,True,True,True,True,107.63588,106.16239,716013568.0,249.47939219386421,,28.03907,125.19580376048964,,14.370000000000001,95987.67531855783,107.79677367521556,95995.52801185386,105.53848710784264,2428928.0,236.1683646267353,26.59915684512187,557.0,122.10640880401242,0.02,37772.0,59383808.0,13.0,98715.66789291018,82.37620893824995,29.699393546306357,121.54336369899045,98713.906383569,4.094736842105264,112.38815154669909,,111.77034676938374,98713.906383569,84.00578243314106,1.24,6.569972299168974,391.99762899793035,389.0,119.87510719888208,98715.66789291016,256.55969841838765,33132.0,29.594086,122.337623,876.4444444444445,115857.71552739565,987815936.0,115393.1721390794,"0,20,40,60,80,100,120,140,160,180",257.19196423568644,42050.22222222222,16446.22,127.38060579362872,123.94693799999999
51,5,10,5000,293333,1e-08,1e-08,0,421,132,177,1619036622,True,True,True,True,5.261460524386959,4.22916616950701,102010880.0,6.601872456295907,,1.5300256023018208,5.332906564177303,,1.9600000000000002,55165.725176658845,6.855737154720901,55171.15378444126,4.707869099407332,2064384.0,7.291651115646154,1.6328065561558158,86.0,7.766679166509923,0.0,15252.0,58523648.0,19.0,55411.15266523277,3.980253491887605,1.4483190387754608,5.500801290666388,55409.588803087805,3.7222222222222223,5.932410997361147,1.5019967773920524,5.801199708241053,55409.58880308781,5.258383771896801,1.25,10.811728395061731,6.889776449932133,134.0,4.219154961318659,55411.15266523277,6.299997863536963,18788.0,1.5429017532974467,4.848000054545516,444.6,49010.32035063193,282537984.0,48330.333396349044,"0,20,40,60,80,100,120,140,160,180",6.966106136639664,22744.8,7648.38,6.197759400081054,6.066724166732008
52,5,10,5000,546666,1e-08,1e-08,0,665,222,314,1876823513,True,True,True,True,3.7552728722839905,2.88829376621191,132132864.0,4.972422114845921,,1.15474896920606,4.458157379287627,,2.65,58447.46500941106,5.5366389319995415,58451.67674788768,3.7349831530497024,2093056.0,5.857516643489014,1.4061068841528577,207.0,6.520314734563447,0.0,25436.0,58830848.0,48.0,58976.55233032183,3.4600457787019847,1.2762000523455237,4.648230230465954,58974.83940539093,4.25,4.795060024833232,1.146590640829457,4.7097361192841065,58974.83940539091,4.39297107660346,1.41,32.213815789473685,5.927204221279199,323.0,3.6951122721227336,58976.55233032183,5.657169115495617,31292.0,1.270537037240289,3.6093530601866584,854.4,49982.93957755885,514453504.0,49542.545126476114,"0,20,40,60,80,100,120,140,160,180",5.709651455685156,39324.0,15404.6,5.015557637321575,4.517398557803119
53,5,10,5000,800000,1e-08,1e-08,0,1104,345,467,966701046,True,True,True,True,4.7793875,3.35477,192720896.0,5.404801781542886,,1.1044375,5.860463803878919,,3.6500000000000004,56548.418570088965,5.785199444065503,56556.22777987263,3.942825801746552,2101248.0,5.9708804471443715,1.255879507915098,306.0,7.0432890190212305,0.0,35404.0,58957824.0,65.0,57342.19237746807,3.696585075762021,1.2412367473159485,5.3280467946678325,57339.42881235032,4.269230769230768,5.990022075259253,0.935302699613752,5.780018468391303,57339.428812350336,4.8710047969300065,1.22,42.850591715976336,6.556453457380463,444.0,4.083022316553335,57342.192377468076,6.216259095836426,41932.0,1.280587875,3.90948975,1259.8,49895.109930637904,696856576.0,49127.242366910265,"0,20,40,60,80,100,120,140,160,180",5.986339595156781,55405.6,24221.92,5.91126223751156,5.194114
54,6,10,5000,40000,1e-08,1e-08,0,65,16,14,1711364921,True,True,True,True,11.16705,10.02755,44785664.0,12.31243707238161,,2.4821,9.414695017451912,,0.37,50567.55221216712,12.31015,50569.72199914244,9.7785,2031616.0,10.961242211447097,2.738075,22.0,8.869738931889568,0.0,6156.0,58060800.0,5.0,50670.558237686826,8.22275,3.3067904040706764,12.942132794572434,50669.756337686835,3.2,9.48556935723736,,7.698745598634187,50669.756337686835,9.36670698643108,1.29,1.36,16.56629375350456,16.0,11.578568013568926,50670.55823768683,11.960029435354107,7748.0,3.1253125,11.356125,64.4,53540.68248936611,141287424.0,53105.18120574909,"0,20,40,60,80,100,120,140,160,180",12.27835428480749,7263.2,1278.45,9.832220731438557,13.50114
55,6,10,5000,200000,1e-08,1e-08,0,264,82,91,971403451,True,True,True,True,5.40066,3.99472,69873664.0,6.290174491484047,,1.382765,6.250558348681664,,1.11,50334.396816686814,6.857813109142668,50339.426107090185,5.246211915270402,2072576.0,7.841729826537357,1.5742624618700385,70.0,7.462428560334798,0.0,11100.0,58376192.0,14.0,50526.68760825233,3.5282804952091964,1.32382683137501,5.230184425018166,50525.063071354416,3.4137931034482767,6.349500564486491,1.255355511577641,6.063527693626555,50525.063071354416,5.02355564287984,0.96,7.001189060642092,6.292506613009973,99.0,3.721999277347521,50526.68760825233,6.1129337507901775,14076.0,1.4370155,4.433163,239.1,46806.78623203613,210710528.0,46333.653201996276,"0,20,40,60,80,100,120,140,160,180",6.990243029185907,14410.4,4917.280000000002,6.4655049414289865,5.737896
56,6,20,5000,200000,1e-08,1e-08,0,459,128,147,2081809961,True,True,True,True,17.38278,16.03344,179826688.0,26.565278797092493,,4.404825,17.89845424691549,,3.75,70920.70563230017,19.34938679376269,70923.34077910059,17.398441314953008,2064384.0,25.53910648282769,4.449341693655669,254.0,18.752574240971395,0.0,20908.0,59105280.0,23.0,71910.15127006758,13.923950069934588,4.259853147389444,17.564841757729493,71906.38674787272,3.7540983606557377,17.640331781521247,,16.14030308506818,71906.38674787272,15.190829656116376,1.04,10.546089760816985,28.35945460757175,229.0,16.213403510086895,71910.15127006758,26.71291552202489,21636.0,4.7155520000000015,17.580612,519.7777777777778,76553.48204161588,337944576.0,75784.98404179017,"0,20,40,60,80,100,120,140,160,180",24.997151577186408,25516.88888888889,6539.45,16.309098779471277,18.849942000000002
57,6,40,5000,200000,1e-08,1e-08,0,514,128,166,957315746,True,True,True,True,32.18342,30.89642,338788352.0,55.687874088033645,,8.93904,33.878702550949946,,5.83,80676.54958722196,36.1251411487815,80682.00808760307,33.951172302854786,2072576.0,64.60442422952377,8.692080044906996,307.0,46.331404501964045,0.0,24428.0,59088896.0,24.0,83115.47452849922,24.474619531335765,8.549497734415251,33.4589324269279,83113.6181826495,3.7945205479452055,42.11392580506289,,33.65203036844417,83113.6181826495,25.516726138304442,1.25,10.8207918934134,73.167952469636,277.0,32.12448670211833,83115.47452849924,64.68727370045863,25020.0,8.5911255,33.485955000000004,553.5,84881.31155161449,566517760.0,84295.90428342347,"0,20,40,60,80,100,120,140,160,180",64.60494167837415,27591.2,8462.57,37.870950851868464,34.680425
58,6,64,5000,200000,1e-08,1e-08,0,644,147,174,1547756102,True,True,True,True,58.99168,57.70854,498438144.0,104.14111173695898,,14.937895,60.7570957340494,,8.07,81317.77978850652,67.17489576230395,81324.80729225304,64.72134275120503,2252800.0,123.29792120139038,16.13758178910302,489.0,93.41413500933099,0.0,32604.0,58732544.0,33.0,85510.06899303348,50.73789011050559,16.50591232168599,66.29037115564236,85506.54213529445,4.191011235955056,75.38797028736909,,65.30740486303871,85506.54213529444,51.88633712887848,1.02,15.637672011109707,157.60174804243053,373.0,64.76298393082371,85510.06899303346,118.63729470762155,29756.0,17.376288,69.022745,722.4444444444445,96500.92331717083,705392640.0,96088.38690528515,"0,20,40,60,80,100,120,140,160,180",131.53367741245472,34807.555555555555,12866.18,70.05404066489815,70.53116299999998
