,Ne,length,sample_size,recombination_rate,mutation_rate,tool,file_compression_factor_mean,file_compression_factor_se
0,5000,5000000,50000,5e-09,1e-08,tsinfer,9.226277890546204,0.1797718424669047
1,5000,5000000,50000,1e-08,1e-08,tsinfer,7.946418155805918,0.09547719886312891
2,5000,5000000,50000,2e-08,1e-08,tsinfer,6.364022036372093,0.04638299236573924
3,5000,10000000,50000,5e-09,1e-08,tsinfer,14.825512012395393,0.13253468523539685
4,5000,10000000,50000,1e-08,1e-08,tsinfer,11.989290237754702,0.09019354668961187
5,5000,10000000,50000,2e-08,1e-08,tsinfer,9.42844350952956,0.056345082346291264
6,5000,15000000,50000,5e-09,1e-08,tsinfer,17.894110338421786,0.1490184409074479
7,5000,15000000,50000,1e-08,1e-08,tsinfer,14.557988618813738,0.09008313827629445
8,5000,15000000,50000,2e-08,1e-08,tsinfer,11.126175970867758,0.03131310561677769
9,5000,20000000,50000,5e-09,1e-08,tsinfer,19.711790349141147,0.1456668565516285
10,5000,20000000,50000,1e-08,1e-08,tsinfer,16.105505532535055,0.07433630381430703
11,5000,20000000,50000,2e-08,1e-08,tsinfer,12.274367575723705,0.041952479407450685
12,5000,25000000,50000,5e-09,1e-08,tsinfer,21.754858942012014,0.09451580038934089
13,5000,25000000,50000,1e-08,1e-08,tsinfer,17.147964058904257,0.04920522123363933
14,5000,25000000,50000,2e-08,1e-08,tsinfer,13.045726574828109,0.049604495618353416
15,5000,30000000,50000,5e-09,1e-08,tsinfer,22.53283610371962,0.0914014478318274
16,5000,30000000,50000,1e-08,1e-08,tsinfer,17.975230255107583,0.0451447268594809
17,5000,30000000,50000,2e-08,1e-08,tsinfer,13.795696426455866,0.024314622101390928
18,5000,35000000,50000,5e-09,1e-08,tsinfer,23.65929107484107,0.09993571698833753
19,5000,35000000,50000,1e-08,1e-08,tsinfer,18.808170835025788,0.04932864942294327
20,5000,35000000,50000,2e-08,1e-08,tsinfer,14.185565605137318,0.0252409336449882
21,5000,40000000,50000,5e-09,1e-08,tsinfer,24.307571530922164,0.09691595593592328
22,5000,40000000,50000,1e-08,1e-08,tsinfer,19.32804651803533,0.07222145458703627
23,5000,40000000,50000,2e-08,1e-08,tsinfer,14.473210794126251,0.029955144948369688
24,5000,45000000,50000,5e-09,1e-08,tsinfer,24.869346460982268,0.10956995134085104
25,5000,45000000,50000,1e-08,1e-08,tsinfer,19.68640411288543,0.06959026894185019
26,5000,45000000,50000,2e-08,1e-08,tsinfer,14.74166794015449,0.04433029203412192
27,5000,50000000,5000,5e-09,1e-08,tsinfer,4.37282163851418,0.011481980689165802
28,5000,50000000,5000,1e-08,1e-08,tsinfer,3.3506459204915044,0.015345270060611057
29,5000,50000000,5000,2e-08,1e-08,tsinfer,2.5242410690100017,0.00639744515514942
30,5000,50000000,10000,5e-09,1e-08,tsinfer,7.587732772512595,0.031160631432694035
31,5000,50000000,10000,1e-08,1e-08,tsinfer,5.844249139295571,0.018100350733105786
32,5000,50000000,10000,2e-08,1e-08,tsinfer,4.365214255431239,0.013404104392231858
33,5000,50000000,15000,5e-09,1e-08,tsinfer,10.391944929185968,0.0529529639771115
34,5000,50000000,15000,1e-08,1e-08,tsinfer,8.048271072971074,0.024967287170034918
35,5000,50000000,15000,2e-08,1e-08,tsinfer,5.976826599300842,0.01156715473289554
36,5000,50000000,20000,5e-09,1e-08,tsinfer,13.06330426019161,0.08348801740368984
37,5000,50000000,20000,1e-08,1e-08,tsinfer,10.253251229929814,0.03281561631971231
38,5000,50000000,20000,2e-08,1e-08,tsinfer,7.540836147994854,0.01863738901634407
39,5000,50000000,25000,5e-09,1e-08,tsinfer,15.518903698310458,0.058856005504409004
40,5000,50000000,25000,1e-08,1e-08,tsinfer,12.123445431278778,0.024264036868904135
41,5000,50000000,25000,2e-08,1e-08,tsinfer,9.00458274361597,0.024549638694553424
42,5000,50000000,30000,5e-09,1e-08,tsinfer,17.670268965414596,0.0633674099739926
43,5000,50000000,30000,1e-08,1e-08,tsinfer,13.844387168434574,0.03851676765857496
44,5000,50000000,30000,2e-08,1e-08,tsinfer,10.26136039509899,0.020562207552701436
45,5000,50000000,35000,5e-09,1e-08,tsinfer,19.613383948910197,0.05917088128714217
46,5000,50000000,35000,1e-08,1e-08,tsinfer,15.575521460512078,0.05118468120840763
47,5000,50000000,35000,2e-08,1e-08,tsinfer,11.559207115868784,0.022722248813785047
48,5000,50000000,40000,5e-09,1e-08,tsinfer,21.810278841688934,0.09686092766908677
49,5000,50000000,40000,1e-08,1e-08,tsinfer,17.225749447962748,0.04661743254656421
50,5000,50000000,40000,2e-08,1e-08,tsinfer,12.732388201696864,0.037492399070031476
51,5000,50000000,45000,5e-09,1e-08,tsinfer,23.53374941067579,0.09096404402585145
52,5000,50000000,45000,1e-08,1e-08,tsinfer,18.553994393348624,0.04969567174063611
53,5000,50000000,45000,2e-08,1e-08,tsinfer,13.91740950339406,0.03916457839616201
54,5000,50000000,50000,5e-09,1e-08,tsinfer,25.746359217186427,0.06588026322410372
55,5000,50000000,50000,1e-08,1e-08,tsinfer,20.167663083100024,0.06982854272707491
56,5000,50000000,50000,2e-08,1e-08,tsinfer,14.968585551810481,0.03317291765407786
57,5000,50000000,55000,5e-09,1e-08,tsinfer,27.192284005162996,0.07737180671346867
58,5000,50000000,55000,1e-08,1e-08,tsinfer,21.45146456852052,0.08373887390175183
59,5000,50000000,55000,2e-08,1e-08,tsinfer,16.040993115340818,0.026648237090888486
60,5000,50000000,60000,5e-09,1e-08,tsinfer,28.885057370554314,0.119506459652184
61,5000,50000000,60000,1e-08,1e-08,tsinfer,22.630938757049,0.07746975256117358
62,5000,50000000,60000,2e-08,1e-08,tsinfer,16.9885401294775,0.02244205052867541
63,5000,50000000,65000,5e-09,1e-08,tsinfer,30.54728536398228,0.12580532113363743
64,5000,50000000,65000,1e-08,1e-08,tsinfer,23.930272120287977,0.057352741782961035
65,5000,50000000,65000,2e-08,1e-08,tsinfer,17.88160509253697,0.039338957635520436
66,5000,50000000,70000,5e-09,1e-08,tsinfer,31.712698556295493,0.11696794550215033
67,5000,50000000,70000,1e-08,1e-08,tsinfer,25.119970401174633,0.07174167639374371
68,5000,50000000,70000,2e-08,1e-08,tsinfer,18.939751788705657,0.048233213771024006
69,5000,50000000,75000,5e-09,1e-08,tsinfer,33.17142807386536,0.16610067052217858
70,5000,50000000,75000,1e-08,1e-08,tsinfer,26.108830921695336,0.047985264182441825
71,5000,50000000,75000,2e-08,1e-08,tsinfer,19.811987481906776,0.041310721438713845
72,5000,50000000,80000,5e-09,1e-08,tsinfer,34.71870826385552,0.13301828816725175
73,5000,50000000,80000,1e-08,1e-08,tsinfer,27.373924822714105,0.0669681274366448
74,5000,50000000,80000,2e-08,1e-08,tsinfer,20.644877018778544,0.04571053672271895
75,5000,50000000,85000,5e-09,1e-08,tsinfer,35.68124364186363,0.16749482931383786
76,5000,50000000,85000,1e-08,1e-08,tsinfer,28.38916279085122,0.04676887461058416
77,5000,50000000,85000,2e-08,1e-08,tsinfer,21.476450965917603,0.05226536301780807
78,5000,50000000,90000,5e-09,1e-08,tsinfer,36.918138294640734,0.11485244430090308
79,5000,50000000,90000,1e-08,1e-08,tsinfer,29.363539860458168,0.07734723556983968
80,5000,50000000,90000,2e-08,1e-08,tsinfer,22.26100217886569,0.03572515637880431
81,5000,50000000,95000,5e-09,1e-08,tsinfer,38.350159248203525,0.12183041214484747
82,5000,50000000,95000,1e-08,1e-08,tsinfer,30.598079292433987,0.06661843328848775
83,5000,50000000,95000,2e-08,1e-08,tsinfer,23.25828904896449,0.050583630606689196
84,5000,50000000,100000,5e-09,1e-08,tsinfer,39.392704135648344,0.2625372929851081
85,5000,50000000,100000,1e-08,1e-08,tsinfer,31.37364376108682,0.10443405548861702
86,5000,50000000,100000,2e-08,1e-08,tsinfer,23.938371534536536,0.07311830447270523
87,5000,55000000,50000,5e-09,1e-08,tsinfer,25.916042338042512,0.12627886286452664
88,5000,55000000,50000,1e-08,1e-08,tsinfer,20.372080498014938,0.07647740566080918
89,5000,55000000,50000,2e-08,1e-08,tsinfer,15.18896980796051,0.0498078069432998
90,5000,60000000,50000,5e-09,1e-08,tsinfer,25.926493993394768,0.11713305688687525
91,5000,60000000,50000,1e-08,1e-08,tsinfer,20.37455884042038,0.05113220624926668
92,5000,60000000,50000,2e-08,1e-08,tsinfer,15.388063146148445,0.03219157501782394
93,5000,65000000,50000,5e-09,1e-08,tsinfer,26.416401511501725,0.05927348735813599
94,5000,65000000,50000,1e-08,1e-08,tsinfer,20.649925347668354,0.05927748233655774
95,5000,65000000,50000,2e-08,1e-08,tsinfer,15.460985949491189,0.03451555906618564
96,5000,70000000,50000,5e-09,1e-08,tsinfer,26.67685689489992,0.05880123824658442
97,5000,70000000,50000,1e-08,1e-08,tsinfer,20.782192351398567,0.05476246928854111
98,5000,70000000,50000,2e-08,1e-08,tsinfer,15.627404902500444,0.028909659770540795
99,5000,75000000,50000,5e-09,1e-08,tsinfer,27.005949518554864,0.07733481822763426
100,5000,75000000,50000,1e-08,1e-08,tsinfer,20.95571211358898,0.04379509225064313
101,5000,75000000,50000,2e-08,1e-08,tsinfer,15.674865848540056,0.030680267240186174
102,5000,80000000,50000,5e-09,1e-08,tsinfer,27.179595260159374,0.07665161325291973
103,5000,80000000,50000,1e-08,1e-08,tsinfer,21.051113215497207,0.04699698888427465
104,5000,80000000,50000,2e-08,1e-08,tsinfer,15.856457501550196,0.023215813933716033
105,5000,85000000,50000,5e-09,1e-08,tsinfer,27.236859180124373,0.0896272079170727
106,5000,85000000,50000,1e-08,1e-08,tsinfer,21.27600892977969,0.04045220289060583
107,5000,85000000,50000,2e-08,1e-08,tsinfer,15.775013005354703,0.027687192790893884
108,5000,90000000,50000,5e-09,1e-08,tsinfer,27.31356995639548,0.07252138092303419
109,5000,90000000,50000,1e-08,1e-08,tsinfer,21.35346268621374,0.022858144272741344
110,5000,90000000,50000,2e-08,1e-08,tsinfer,15.818602393909202,0.02670617133369135
111,5000,95000000,50000,5e-09,1e-08,tsinfer,27.522818108637857,0.05254136909715742
112,5000,95000000,50000,1e-08,1e-08,tsinfer,21.55808561780684,0.03774058430882434
113,5000,95000000,50000,2e-08,1e-08,tsinfer,15.912912536256954,0.03640548022233843
114,5000,100000000,50000,5e-09,1e-08,tsinfer,27.734881900838282,0.05592548955571004
115,5000,100000000,50000,1e-08,1e-08,tsinfer,21.428710323553695,0.050766291561080465
116,5000,100000000,50000,2e-08,1e-08,tsinfer,15.996396342996405,0.028784021550432547
