CentreName,Bristol,Newcastle,Birmingham,Liverpool,Sheffield,Leeds,Middlesborough,Nottingham,Glasgow,Oxford,Hounslow,Swansea,Stoke,Manchester,Bury,Croydon,Reading,Cardiff,Barts,Edinburgh,Stockport (pilot),Wrexham
Barts,0.089555911731115,0.06496424007095539,0.043834130755112985,0.05853001091903219,0.05349438198827338,0.07861106225901078,0.03818294426521167,0.06284939771883848,0.03442354053737087,0.03055770124945229,0.05605632312397109,0.004408599517474263,0.03346413954584252,0.02579426586071003,0.04975661646311133,0.05268367758174259,0.06313460889358623,0.036461867423373574,0.029949180138252943,0.03264765961244347,0.0009310475839069113,0.0011383091632796302
Birmingham,0.08559579321271638,0.055492851877532445,0.09661766095158673,0.058692411406828404,0.0570010355399135,0.07512389486948691,0.035312103164314004,0.06872758105401314,0.025902697451432356,0.028815821517190355,0.045095960733009685,0.00424335285897907,0.045574795426873864,0.024824717136901393,0.05033144568082561,0.04357519063507653,0.05736144448983355,0.037073907884746814,0.019397337178154027,0.02446967344952736,0.0008677170831905758,0.0013322227999355426
Bristol,0.1622789040054439,0.05487658194942137,0.044901661231072774,0.052254822252731446,0.04897439068499249,0.06963237838592527,0.03368587514361607,0.05903127361019374,0.0253252303703368,0.03007715856465309,0.04927921718608969,0.005462336817717429,0.03183135040374676,0.02181782530581141,0.043439307391068015,0.04810149735495355,0.06368053177345821,0.04901490622974511,0.020816782845057634,0.025101725909006643,0.0007328240316205046,0.0011130349554015196
Bury,0.06705387051827301,0.05892125344363843,0.041190902447522035,0.07811808413258518,0.0595488986602114,0.09091293975087872,0.03627212427324221,0.062017085784914265,0.028335607158944055,0.023337969940949308,0.040453457335552404,0.0031599325281958324,0.04225465172694978,0.03788350534141267,0.11225065872233056,0.03799713189784559,0.04818603572312101,0.027105299337358807,0.018378262644553795,0.025441290988620583,0.0011394568555407542,0.001471197189425986
Cardiff,0.11758446960504795,0.05017824358445043,0.04663401476564856,0.055395852499877614,0.04588797440401536,0.06469043523289437,0.032471244843805085,0.05563731927638838,0.023162638980817062,0.029197958172453152,0.048636878466454266,0.010723471901087621,0.03218213075291861,0.02152797848674774,0.04205864017727846,0.046243632653021845,0.06149122847933373,0.11215417830385975,0.02047430308581998,0.02289318558297855,0.0007017041279634544,0.0015021330192047204
Croydon,0.09398880531238996,0.063106587354384,0.044770138663080064,0.05676146660306557,0.053294161701912555,0.07753037156104985,0.03779014838914533,0.06387577499328806,0.031048259446028643,0.031641849924999244,0.055511852023648736,0.004425396863755278,0.033258466792738216,0.023862923864335802,0.04701983064693071,0.0630867618909537,0.0674054166306891,0.037107886294739115,0.023761628041994422,0.030312207461663486,0.0007825291455459445,0.0010871527957291537
Edinburgh,0.06487573851225382,0.09152286821106105,0.034228709201945554,0.05582805127939799,0.0428097294217255,0.06910546965019737,0.04197109048822863,0.04965722393204135,0.08342197323297865,0.02334698328860517,0.04411103028089043,0.002994269096694765,0.025727860477915657,0.022157449922842742,0.042651053412430195,0.040826350037820855,0.049937071523012536,0.024564055341759535,0.019934440395019976,0.11016342734262145,0.0007449217340275825,0.000849849618596321
Glasgow,0.06070652893139043,0.08679984402000791,0.03430219838061582,0.061954206418131076,0.040163971821652565,0.06723020397951943,0.041241512362685646,0.047513528944808626,0.13100264060803696,0.02200434714107559,0.0433587727950807,0.002902077008683844,0.024507504687173946,0.023572919724250237,0.04392390191559373,0.03986993932171535,0.047590628929405326,0.023161045984933595,0.019942800691896908,0.0781166065722973,0.0007928523070178913,0.0007715838560952089
Hounslow,0.09224700739652184,0.06441159345164692,0.04459884030884996,0.05693337056140699,0.05293366612451735,0.0777138763674387,0.037690791314409396,0.06320844122676388,0.0326737941159786,0.031317998687541954,0.06160445865073312,0.004477396536893998,0.03346745010356009,0.024207326825393234,0.04814943900117011,0.05310355377768721,0.0676433295195164,0.03780420439662037,0.02400898018981632,0.031191771801373353,0.0008342163389413673,0.0012081097052870225
Leeds,0.06819058594004254,0.06794015160174625,0.038880110310549484,0.056426669406127776,0.06973282547680043,0.15762789749805217,0.044726501385253525,0.0643303042587259,0.02743865091917945,0.024052482870598715,0.04112281183528543,0.00313897829629143,0.033165144455507445,0.02555268343180781,0.05743788973926663,0.03925670659875203,0.04969784041276183,0.026292132242837687,0.0181894955974277,0.026305663681936573,0.00089419017152198,0.001029900271593654
Liverpool,0.06945243365774952,0.06126258099809005,0.0420300074471906,0.13543375908301292,0.05135971654087071,0.07659721517276452,0.03615051702194883,0.05716633044520319,0.03499148839393731,0.023631779516860223,0.04195093088052513,0.0036382977991108625,0.03991055541300693,0.030344661282318264,0.06714356564920854,0.03980955436460617,0.049295198498122056,0.030601474776475863,0.018836574424942562,0.02891592834552871,0.000999499725109514,0.0019075469654837157
Manchester,0.07147756451128492,0.06129041688011901,0.04285120626165355,0.07480447867158584,0.05927532029195449,0.0858733674983546,0.0367136696310415,0.06335055614510808,0.031873054809125584,0.024763137984020196,0.04320957630685369,0.0035328127064915564,0.04346722534640831,0.04534638619463876,0.08099200084161666,0.04097496135346005,0.051082036557827094,0.02955681265998374,0.02047407649162293,0.027697037495852356,0.0012807595536043922,0.0015431582094603735
Middlesborough,0.06640294008156701,0.10921615779434872,0.03721292053290996,0.05400508566908157,0.05300981869932367,0.09037422153940607,0.10751723840181013,0.05717538508660873,0.03423735819519216,0.023210043428171765,0.040512687761321296,0.00315257561507665,0.029805754530287446,0.02229606181594623,0.04657469957865709,0.03866421072467463,0.049312378170593224,0.026705340903751065,0.018022334070830204,0.0322283138823865,0.0008194042072631415,0.0009746857128612361
Newcastle,0.0621782248152511,0.18852719561079098,0.03375234935586006,0.0524702611429275,0.04653093852053766,0.07837315686093319,0.06238449452034854,0.0524482768312522,0.04138267993254699,0.0220889369305571,0.03960999473439213,0.002803098518122397,0.02677516691297136,0.021412091722140543,0.0433920850749555,0.03742110018362289,0.04707840871440046,0.023613160267900033,0.017524836649059582,0.04007470218806135,0.0007527571657539247,0.0008356997496819794
Nottingham,0.07471900312588926,0.058279706982547544,0.04536515358409519,0.05432840341262513,0.07225566776436158,0.08248407725979298,0.0366358512676568,0.13605448471932255,0.02506639748834391,0.025965017710245942,0.04286133542626778,0.003421665966970615,0.04003489744461189,0.024379561740645664,0.05059965418021197,0.0416417612446539,0.05309185114269316,0.02938350832178866,0.01843090249027713,0.024429792334194768,0.0008648874746248003,0.0011360353202461081
Oxford,0.09501622874623665,0.06079631594783785,0.04774310557127484,0.05545895996266294,0.05321498478008411,0.07699850330167955,0.03667097988169119,0.06406756598668506,0.028747164955477637,0.05075018587625992,0.052134399762102324,0.004541426802042456,0.03453682366508637,0.023593513594798093,0.0472449591669132,0.05071182639379981,0.06874082524362717,0.03824406782822546,0.022088866408804538,0.028174527756772184,0.000778846064008004,0.0011755387059967592
Reading,0.09656259045446774,0.06244303771123735,0.04577275711755299,0.0559526819138285,0.05309730908338306,0.07629009436156231,0.037335590337427935,0.06368563467345546,0.02989837995217804,0.03327402795790463,0.05458203620765494,0.004516961437844806,0.03388881666621766,0.023707534618214305,0.04724780622847053,0.05227049590455218,0.07866619670465683,0.038681853049697235,0.022278283749066766,0.029368051915204075,0.0007756724557648911,0.0011338039017248364
Sheffield,0.06875876130472808,0.05848382938659099,0.0422255621061713,0.05453359730449944,0.13259104969283683,0.09992272997342867,0.038049840009847576,0.0803746399255576,0.023792760840662844,0.023978727292871642,0.040134146365579534,0.003069079391780195,0.03814990230750839,0.025346820272438536,0.054193572801172124,0.038458776896772594,0.04964270951116437,0.026916889074971983,0.017430362422273343,0.023439456827432696,0.0008403272004021166,0.0010960754933742407
Stockport (pilot),0.07198976603093586,0.06463107736166139,0.04528840763295413,0.07056779040309896,0.060197436957874544,0.08607245409944685,0.04033408466091454,0.06653209197808216,0.03259969035111138,0.024009486387549437,0.04356207148797045,0.002951801279606864,0.04350529424719446,0.04128623995583424,0.07245004559710341,0.040241035667053726,0.051248275815545495,0.029717518730757345,0.021893134178524374,0.02830829791662478,0.002857336874596231,0.0011862787876254378
Stoke,0.0679255326711936,0.05062176393762063,0.050049605556805515,0.06403541662041945,0.05713014976694398,0.07217644421101599,0.03197785796543192,0.06746722340870784,0.022016028198625755,0.023189771487329376,0.03813647357197045,0.003324491146598347,0.15459680917801924,0.02803393716060557,0.05791191738457121,0.036380679751970346,0.047484666233487675,0.028459806197918623,0.016663557409589077,0.02135098601557857,0.0009229085877020983,0.0015735899399611202
Swansea,0.11178947177382895,0.05088181101367767,0.04622025366951789,0.0554975172928848,0.04528200440720346,0.06418388548436904,0.03294828565292114,0.05619307914208321,0.024212953360705433,0.02993821378369873,0.049713810046885104,0.0318007749100192,0.03207934609570202,0.021970161131937425,0.04223590968628696,0.04714241180447293,0.06178195213406754,0.09062348623726288,0.0205479792335807,0.024262608968091355,0.0006287612004111006,0.0014949393724595556
Wrexham,0.07733317957870144,0.05376591363303228,0.04825282184152022,0.09872788661259069,0.053218020458789386,0.0719987715273791,0.03353982592475119,0.06357981022303655,0.023713246384571264,0.026168134388133587,0.04350238135312282,0.004528334174416457,0.052308770827759754,0.03203199045360491,0.06586054884700024,0.04009013412834511,0.0527359442429655,0.04303781128904216,0.018420519936999037,0.023520690765263055,0.0008582503783692557,0.014236629432672262
